rawX;rawY;rawZ;timestampsensorType;
1,3042845;1,7553903;9,767424;0;0
1,3925443;1,90249;9,649743;0;0
1,3925443;1,9711366;9,68897;0;0
1,3533176;1,9122967;9,679163;0;0
1,4121575;1,93191;9,669356;4;0
1,372931;1,8828768;9,698776;68;0
1,2944778;1,8632635;9,7183895;68;0
1,3042845;1,8926834;9,738003;68;0
1,3631244;1,8828768;9,708583;68;0
1,3238977;1,8534569;9,669356;68;0
1,2944778;1,9122967;9,708583;68;0
1,2552512;1,8730701;9,747809;74;0
1,2258313;1,8828768;9,757616;84;0
1,1375713;1,8632635;9,787037;93;0
1,0885382;1,9221034;9,728196;103;0
1,0493115;1,9613299;9,639936;113;0
0,98066497;1,99075;9,590903;123;0
0,8629852;2,0495899;9,590903;133;0
0,79433864;2,0888164;9,639936;144;0
0,78453195;2,0888164;9,590903;153;0
0,70607877;2,128043;9,57129;163;0
0,6766588;2,1378496;9,57129;178;0
0,70607877;2,1770763;9,5320635;184;0
0,71588546;2,2359161;9,463417;193;0
0,7256921;2,2751427;9,443804;233;0
0,7256921;2,3732092;9,48303;233;0
0,74530536;2,3928225;9,522257;233;0
0,7354987;2,4124358;9,463417;233;0
0,70607877;2,432049;9,443804;243;0
0,6668522;2,4810824;9,473224;253;0
0,60801226;2,5006957;9,492837;263;0
0,5982056;2,520309;9,57129;273;0
0,57859236;2,520309;9,610517;305;0
0,56878567;2,5006957;9,561483;305;0
0,5393657;2,490889;9,63013;305;0
0,48052585;2,5006957;9,590903;313;0
0,4707192;2,5399222;9,561483;323;0
0,46091253;2,5497289;9,590903;334;0
0,51975244;2,5497289;9,620323;343;0
0,51975244;2,520309;9,679163;353;0
0,51975244;2,5399222;9,639936;363;0
0,4707192;2,5987623;9,610517;374;0
0,42168593;2,5889556;9,48303;384;0
0,37265268;2,608569;9,433997;393;0
0,2941995;2,5791488;9,48303;404;0
0,2157463;2,5301156;9,54187;417;0
0,20593965;2,5105023;9,620323;423;0
0,18632634;2,5105023;9,679163;433;0
0,16671304;2,5399222;9,698776;443;0
